"neighbourhood","ward","code","activity","date","quote"
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: Mount Hope Cemetery","2016-05-07",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: from 'Berlin' to 'Kitchener'","2016-05-08",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: Brlin's Civic History","2016-05-08",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Kids Take Over Jane's Walk","2016-05-08",""
"Settler's Grove",3,"N2P 2H5","Neighbourhood Garage Sale","2016-05-28",""
"Stanley Park",2,"N2A 4K7","Bike Safety Day","2016-05-28",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: Mount Hope Cemetery","2016-05-07",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: from 'Berlin' to 'Kitchener'","2016-05-08",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Jane's Walk: Brlin's Civic History","2016-05-08",""
"Brubacher Street",10,"N2H 2V8","Jane's Walk: Brubacher Fairy Walk","2016-05-07",""
"Forest Heights",7,"N2N 2G4","Jane's Walk: Edible Forest Heights","2016-05-07",""
"Mount Hope-Breithaupt Park",10,"N2H 4C7","Kids Take Over Jane's Walk","2016-05-08",""
